Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-251008-04-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	167.550	0.000
0.150	194.550	0.000
0.300	218.300	0.000
0.450	233.550	0.000
0.600	244.650	0.000
0.750	254.050	0.000
0.900	262.000	0.000
1.050	269.150	0.000
1.200	276.200	0.000
1.350	283.200	0.000
1.500	290.500	0.000
1.650	298.250	0.000
1.800	307.550	0.000
1.950	318.700	0.000
2.100	334.350	0.000
2.250	361.400	0.000
2.400	394.950	0.000
2.550	413.550	0.000
2.700	424.900	0.000
2.850	432.700	0.000
3.000	438.700	0.000
3.150	443.500	0.000
3.300	447.700	0.000
3.450	451.200	0.000
3.600	454.300	0.000
3.750	457.100	0.000
3.900	459.750	0.000
4.050	462.000	0.000
