Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_3-251112-01-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	171.700	0.000
0.150	197.900	0.000
0.300	221.150	0.000
0.450	236.100	0.000
0.600	247.050	0.000
0.750	256.100	0.000
0.900	263.950	0.000
1.050	271.100	0.000
1.200	277.950	0.000
1.350	284.700	0.000
1.500	291.600	0.000
1.650	298.950	0.000
1.800	307.300	0.000
1.950	317.000	0.000
2.100	329.650	0.000
2.250	349.300	0.000
2.400	381.900	0.000
2.550	407.650	0.000
2.700	422.050	0.000
2.850	431.300	0.000
3.000	438.200	0.000
3.150	443.600	0.000
3.300	448.100	0.000
3.450	451.900	0.000
3.600	455.200	0.000
3.750	458.000	0.000
3.900	460.750	0.000
4.050	463.100	0.000
