Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_2-251111-05-3_75mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.950	0.000
0.150	196.800	0.000
0.300	220.950	0.000
0.450	236.650	0.000
0.600	247.900	0.000
0.750	257.200	0.000
0.900	265.200	0.000
1.050	272.400	0.000
1.200	279.350	0.000
1.350	286.300	0.000
1.500	293.350	0.000
1.650	301.100	0.000
1.800	309.700	0.000
1.950	320.050	0.000
2.100	333.950	0.000
2.250	356.750	0.000
2.400	390.750	0.000
2.550	412.700	0.000
2.700	425.400	0.000
2.850	433.850	0.000
3.000	440.250	0.000
3.150	445.400	0.000
3.300	449.750	0.000
3.450	453.400	0.000
3.600	456.600	0.000
