Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old-251029-13-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	169.050	0.000
0.150	195.200	0.000
0.300	218.750	0.000
0.450	234.200	0.000
0.600	245.350	0.000
0.750	254.500	0.000
0.900	262.350	0.000
1.050	269.600	0.000
1.200	276.500	0.000
1.350	283.300	0.000
1.500	290.400	0.000
1.650	297.950	0.000
1.800	306.650	0.000
1.950	316.950	0.000
2.100	330.750	0.000
2.250	353.350	0.000
2.400	387.350	0.000
2.550	409.550	0.000
2.700	422.350	0.000
2.850	430.900	0.000
3.000	437.450	0.000
3.150	442.550	0.000
3.300	446.850	0.000
3.450	450.450	0.000
3.600	453.700	0.000
3.750	456.600	0.000
3.900	459.300	0.000
4.050	461.600	0.000
