Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_3-251113-06-3_75mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.000	0.000
0.150	196.300	0.000
0.300	219.800	0.000
0.450	234.850	0.000
0.600	246.050	0.000
0.750	255.100	0.000
0.900	262.950	0.000
1.050	270.050	0.000
1.200	276.900	0.000
1.350	283.650	0.000
1.500	290.550	0.000
1.650	298.000	0.000
1.800	306.350	0.000
1.950	316.200	0.000
2.100	328.950	0.000
2.250	348.950	0.000
2.400	381.750	0.000
2.550	407.100	0.000
2.700	421.200	0.000
2.850	430.450	0.000
3.000	437.200	0.000
3.150	442.600	0.000
3.300	447.100	0.000
3.450	450.900	0.000
3.600	454.200	0.000
