Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old-251105-01-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	166.700	0.000
0.150	191.300	0.000
0.300	216.850	0.000
0.450	233.500	0.000
0.600	245.250	0.000
0.750	255.050	0.000
0.900	263.050	0.000
1.050	270.400	0.000
1.200	277.450	0.000
1.350	284.350	0.000
1.500	291.500	0.000
1.650	299.050	0.000
1.800	307.800	0.000
1.950	318.200	0.000
2.100	332.150	0.000
2.250	355.150	0.000
2.400	389.350	0.000
2.550	411.350	0.000
2.700	424.000	0.000
2.850	432.550	0.000
3.000	438.900	0.000
3.150	444.050	0.000
3.300	448.400	0.000
3.450	452.000	0.000
3.600	455.200	0.000
3.750	458.000	0.000
3.900	460.750	0.000
4.050	463.050	0.000
